ts,liquid_rate_in_hr,ice_rate_in_hr,snow_rate_in_hr,horizontal_mf_salt,road_liq_depth_in,road_ice_depth_in,road_unbndice_depth_in,road_cmpsnw_in,road_snow_depth_in,prct_ice,speed_mph,profile_speed,ref_speed,imputed,rel_speed
2017-11-15 00,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9376803231390654,0.8700591459896134,69.32,0.0,0.9376803231390654
2017-11-15 01,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.9088286208886325,0.8311519697843992,69.32,0.0,0.9088286208886325
2017-11-15 02,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.8626658972879401,0.8626658972879401,69.32,1.0,0.8626658972879401
2017-11-15 03,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.7934218118869014,0.7934218118869014,69.32,1.0,0.7934218118869014
2017-11-15 04,0.002,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.8093142912098481,0.8093142912098481,69.32,1.0,0.8093142912098481
2017-11-15 05,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.7916907097518755,0.8495307802107694,69.32,0.0,0.7916907097518755
2017-11-15 06,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.8404500865551068,0.8398350897439792,69.32,0.0,0.8404500865551068
2017-11-15 07,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.926860934795153,0.8377319525009871,69.32,0.0,0.926860934795153
2017-11-15 08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8521350259665321,0.8517553983053422,69.32,0.0,0.8521350259665321
2017-11-15 09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8923831506058858,0.8785419260789018,69.32,0.0,0.8923831506058858
2017-11-15 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.963791113675707,0.9005907006408115,69.32,0.0,0.963791113675707
2017-11-15 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9141661858049626,0.8975916421174114,69.32,0.0,0.9141661858049626
2017-11-15 12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8949798038084248,0.9099675038722023,69.32,0.0,0.8949798038084248
2017-11-15 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9210905943450665,0.8968931272208219,69.32,0.0,0.9210905943450665
2017-11-15 14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8903635314483556,0.8759756430892582,69.32,0.0,0.8903635314483556
2017-11-15 15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8721869590305829,0.9095650985513409,69.32,0.0,0.8721869590305829
